fit_id,validation,holdout_year,model_id,orchard_id,threshold,spec,inner_MAE_days,training_years,fit_season_ids,selection_mode
R3_regional_sensitivity_P1_P1-D1_LOYO_2024,LOYO,2024,P1-D1,hongming,61,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",6.888888889,2022;2023;2025;2026,hongming_2022;hongming_2023,nested_training_year_cv
R3_regional_sensitivity_P1_P1-D1_LOYO_2024,LOYO,2024,P1-D1,luhong,38.5,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",6.888888889,2022;2023;2025;2026,luhong_2022;luhong_2023;luhong_2025;luhong_2026,nested_training_year_cv
R3_regional_sensitivity_P1_P1-D2_LOYO_2024,LOYO,2024,P1-D2,bannei,123,"{""kind"": ""cold_degree_day"", ""model_id"": ""P1-D2"", ""temperature"": 22}",25,2022;2023;2025;2026,bannei_2022;bannei_2023;bannei_2026,nested_training_year_cv
R3_regional_sensitivity_P1_P1-D2_LOYO_2024,LOYO,2024,P1-D2,hongming,117.95,"{""kind"": ""cold_degree_day"", ""model_id"": ""P1-D2"", ""temperature"": 22}",25,2022;2023;2025;2026,hongming_2022;hongming_2023,nested_training_year_cv
R3_regional_sensitivity_P1_P1-D2_LOYO_2024,LOYO,2024,P1-D2,luhong,47.8,"{""kind"": ""cold_degree_day"", ""model_id"": ""P1-D2"", ""temperature"": 22}",25,2022;2023;2025;2026,luhong_2022;luhong_2023;luhong_2025;luhong_2026,nested_training_year_cv
R3_regional_sensitivity_P1_P1-B0_LOYO_2025,LOYO,2025,P1-B0,bannei,117,"{""kind"": ""duration"", ""model_id"": ""P1-B0""}",4.545454545,2022;2023;2024;2026,bannei_2022;bannei_2023;bannei_2024;bannei_2026,nested_training_year_cv
R3_regional_sensitivity_P1_P1-B0_LOYO_2025,LOYO,2025,P1-B0,hongming,117,"{""kind"": ""duration"", ""model_id"": ""P1-B0""}",4.545454545,2022;2023;2024;2026,hongming_2022;hongming_2023;hongming_2024,nested_training_year_cv
R3_regional_sensitivity_P1_P1-B0_LOYO_2025,LOYO,2025,P1-B0,luhong,128.5,"{""kind"": ""duration"", ""model_id"": ""P1-B0""}",4.545454545,2022;2023;2024;2026,luhong_2022;luhong_2023;luhong_2024;luhong_2026,nested_training_year_cv
R3_regional_sensitivity_P1_P1-D1_LOYO_2025,LOYO,2025,P1-D1,bannei,71,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",5.636363636,2022;2023;2024;2026,bannei_2022;bannei_2023;bannei_2024;bannei_2026,nested_training_year_cv
R3_regional_sensitivity_P1_P1-D1_LOYO_2025,LOYO,2025,P1-D1,hongming,63,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",5.636363636,2022;2023;2024;2026,hongming_2022;hongming_2023;hongming_2024,nested_training_year_cv
